key,en,de

ui.language,Language,Sprache
lang.en,English,Englisch
lang.de,German,Deutsch

nav.data,Data,Daten
nav.plottype,Plot Type,Plot-Typ
nav.variables,Variables,Variablen
nav.options,Plot Options,Plot-Optionen
nav.text,Text,Text
nav.layout,Layout,Layout
nav.download,Download,Download

data.select_dataset,Select Dataset,Datensatz auswählen
data.browse,Browse,Durchsuchen
data.no_file,No file selected,Keine Datei ausgewählt
error.rdata_multiple,The .RData file contains multiple objects. Please provide a file with a single object.,Das .RData-File beinhaltet mehrere Objekte. Bitte .RData-File mit nur einem Objekt verwenden.
error.unknown_format,Unknown file format. Please upload a CSV/XLSX/RData/RDS file.,Unbekanntes Dateiformat. Bitte laden Sie eine CSV/XLSX/RData/RDS Datei hoch.

plot.bar,Bar,Balken
plot.line,Line,Linien
plot.box,Boxplot,Boxplot
plot.scatter,Scatter,Scatter

variables.x_title,X Variable,X-Achsen-Variable
variables.y_title,Y Variable,Y-Achsen-Variable
variables.group_title,Grouping Variable,Gruppierungs-Variable
variables.grid_col_title,Facet Variable (Columns),Variable für Spalten-Facettierung
variables.grid_row_title,Facet Variable (Rows),Variable für Zeilen-Facettierung
variables.reorder_levels,Reorder Levels,Reihenfolge der Stufen anpassen
variables.none,No Variable,Keine Variable

options.theme.title,Theme,Theme
options.palette.title,Color Palette,Farb-Palette
options.palette.select,Color Palette,Farb-Palette
options.palette.apply_to,Apply Color Palette to...,Farbelette anwenden auf...
options.palette.target.fill,Fill,Füllung
options.palette.target.line,Lines,Linien
options.palette.target.both,Both,Beides
options.plotsize.title,Plot Size,Plot-Grösse
options.plotsize.width_px,Heigth (in Pixels):,Höhe (in Pixel):
options.plotsize.height_px,Width (in Pixels):,Breite (in Pixel):
options.range.title,Set Axis Range,Achsen-Range definieren
options.range.xaxis,X Axis,X-Achse
options.range.yaxis,Y Axis,Y-Achse
options.range.min,Min,Min
options.range.max,Max,Max
options.range.expand,Distance to Axis End,Abstand bis zu Achsen-Ende
options.grouping.space,Space Between Grouping Variable,Abstände der Gruppierungs-Variable
options.dodge.value,Space,Abstand

options.custom.colorpalette.add,Add Color,Farbe hinzufügen 
options.custom.colorpalette.remove,Remove Last Color,Letzte Farbe entfernen
options.custom.colorpalette.color,Color,Farbe
options.custom.colorpalette.placeholder,"e.g. 'red', 'grey', '#F00F1F'","z.B. 'red', 'grey', '#F00F1F'"
options.custom.colorpalette.error,Not a valid color,Keine gültige Farbe angegeben

options.barplot,Barplot Options,Barplot-Optionen
options.barplot.width,Width of Bars,Breite der Balken

options.lineplot,Lineplot Options, Linienplot-Optionen
options.lineplot.width,Linewidth,Liniengrösse

options.errorbar,Errorbars, Fehlerbalken
options.errorbar.unit,Unit,Einheit
options.errorbar.mult,Number of Units,Anzahl Einheiten
options.errorbar.width,Width of Errorbars,Breite der Fehlerbalken
options.errorbar.size,Size of Errorbars,Grösse der Fehlerbalken-Linien

options.errorbar.none,None,Keine
options.errorbar.sd,Standard Deviation, Standardabweichung
options.errorbar.ci,Confidence Intervall,Konfidenzintervall
options.errorbar.se,Standard Error,Standardfehler

options.scatterplot,Scatterplot Options,Scatterplot Einstellungen
options.scatterpoint.size,Point Size,Grösse der Punkte

options.regressionline,Regression Line,Regressionslinie
options.regressionline.show,Show Regressionline,Regressionslinie anzeigen
options.regressionline.expand,Expand Regressionline,Regressionslinie verlängern
options.regressionline.showse,Show Standard Error,Standardfehler anzeigen

text.title,Title,Titel
text.title_placeholder, Enter Title,Titel eingeben
text.subtitle,Subtitle,Untertitel
text.subtitle_placeholder, Enter Subtitle, Untertitel eingeben
text.x_axis, X-Axis Label,X-Achsen-Beschriftung
text.x_axis_placeholder, Enter Custom X Axis Label,Eigene X-Achsen Beschriftung eingeben
text.y_axis, Y-Axis Label,Y-Achsen-Beschriftung
text.y_axis_placeholder, Enter Custom Y Axis Label,Eigene Y-Achsen Beschriftung eingeben
text.legend, Legend Title,Legenden-Beschriftung
text.legend_placeholder, Enter Legend Title,Eigene Legenden Beschriftung eingeben

layout.collapse.header,Header,Überschrift
layout.h3.title,Title, Titel
layout.h3.subtitle,Subtitle,Untertitel
layout.collapse.axis.title,Axis Title,Achsen-Überschrift
layout.h3.xaxis,X Axis,X-Achse
layout.h3.yaxis,Y Axis,Y-Achse
layout.collapse.axis.text,Axis Text,Achsen-Text
layout.collapse.axis.lines,Axis Lines,Achsen-Linien
layout.collapse.axis.ticks,Axis Ticks,Achsen-Ticks
layout.collapse.major.grid,Main Grid Lines,Haupt-Linien
layout.collapse.minor.grid,Minor Grid Lines,Minor-Linien
layout.collapse.background,Background,Hintergrund
layout.h3.plot,Plot,Plot
layout.h3.panel,Panel,Panel
layout.collapse.legend,Legend,Legende
layout.h3.legend.title,Title,Überschrift
layout.h3.items,Items,Items
layout.collapse.legend.background,Legend Background,Legenden-Hintergrund
layout.h3.legend.box,Legend Box,Legenden-Box
layout.collapse.legend.options,Legend Options,Legenden Einstellungen
layout.h3.arrangement,Arrangement,Anordnung
layout.h3.sizes,Sizes & Distances,Grösse & Abstände
layout.collapse.facets.background,Facets Background, Facetten-Hintergrund
layout.h3.columns,Columns,Spalten
layout.h3.rows,Rows,Zeilen
layout.collapse.facets.text,Facets Text,Facetten-Beschriftung

download.plot,Plot,Plot
download.download_plot,Download Plot,Plot herunterladen
download.file_format,File Format:,Dateiformat:
download.r_code,R Code,R-Code
download.download_code,Download Code,Code herunterladen

footer.github,View on GitHub,Auf GitHub ansehen
footer.imprint,About,Info
imprint.title,About,Info
imprint.close,Close,Schliessen
imprint.body_html,Text Follows...,Text folgt...


options.linewidth,Linewidth,Linien-Grösse
options.linecolor,Linecolor,Linien-Farbe
options.linelength,Length,Länge
options.linetype,Line Type,Linien-Art

options.linetype.theme,Theme Default,Gemäss Theme
options.linetype.none,None,Keine
options.linetype.solid,Solid,Solide
options.linetype.dashed,Dashed,Gestrichelt
options.linetype.dotted,Dotted,Gepunkted
options.linetype.pointdash,Pointdashed, Punktgestrichelt
options.linetype.longdash,Longdashed,Langgestrichen
options.linetype.twodash,Twodashed,Doppelt gestrichelt

label.font,Font,Schriftart
options.font.theme, Theme Default,Gemäss Theme
options.font.sans,Sans Serif, Sans Serife
options.font.serif,Serif,Serife
options.font.mono,Monospace,Monospace

label.face,Face,Formatierung
face.theme,Theme Default,Gemäss Theme
face.plain,Plain,Normal
face.bold,Bold,Fett
face.italic,Italic,Kursiv
face.bolditalic,Bold Italic, Fett & Kursiv

label.color,Color,Farbe
placeholder.color,Enter Color to Customize,Farbe eingeben zum Anpassen

label.size,Size,Grösse

label.align,Alignment,Ausrichtung
label.align.h,Horicontal Alignment,Horizontale Ausrichtung
align.theme,Theme Default, Gemäss Theme
align.left,Left,Linksbündig
align.center,Center,Mittig
align.right,Right,Rechtsbündig
align.bottom,Bottom,Unten
align.top,Top,Oben

label.align.v,Vertical Alignment,Vertikale Ausrichtung

label.rotation,Rotation,Rotation



